index,species_ID,type_1,type_2,HP,phAtk,phDef,spAtk,spDef,speed,BST,evolves_from,evolves_into,height,weight,catch_rate,base_exp,item_1,item_2,gender_ratio,egg_cycles,growth_rate,egg_group_1,egg_group_2
79,SLOWPOKE,WATER,...,95,70,75,45,50,15,350,...,SLOWBRO|SLOWKING,311,790,190,99,NO_ITEM,KINGS_ROCK,F50,20,MEDIUM_FAST,MONSTER,WATER_1
80,SLOWBRO,WATER,PSYCHIC,95,75,120,100,80,30,500,SLOWPOKE,...,503,1730,75,164,NO_ITEM,KINGS_ROCK,F50,20,MEDIUM_FAST,MONSTER,WATER_1
199,SLOWKING,WATER,PSYCHIC,95,75,80,100,120,30,500,SLOWPOKE,...,607,1750,70,164,NO_ITEM,KINGS_ROCK,F50,20,MEDIUM_FAST,MONSTER,WATER_1
204,PINECO,BUG,...,50,65,90,40,40,15,300,...,FORRETRESS,200,160,190,60,NO_ITEM,...,F50,20,MEDIUM_FAST,BUG,...
205,FORRETRESS,BUG,STEEL,70,80,140,40,60,110,500,PINECO,...,311,2770,75,118,NO_ITEM,...,F50,20,MEDIUM_FAST,BUG,...
187,HOPPIP,GRASS,FLYING,35,35,40,35,55,50,250,...,SKIPLOOM,104,10,255,74,NO_ITEM,...,F50,20,MEDIUM_SLOW,FAIRY,PLANT
188,SKIPLOOM,GRASS,FLYING,55,45,50,45,75,80,350,HOPPIP,JUMPLUFF,200,20,120,136,NO_ITEM,...,F50,20,MEDIUM_SLOW,FAIRY,PLANT
189,JUMPLUFF,GRASS,FLYING,75,55,70,55,85,110,450,SKIPLOOM,...,207,70,45,176,NO_ITEM,...,F50,20,MEDIUM_SLOW,FAIRY,PLANT
83,FARFETCH_D,FLYING,NORMAL,50,65,50,60,60,65,350,...,SIRFETCH_D,207,330,45,94,NO_ITEM,STICK,F50,20,MEDIUM_FAST,FLYING,GROUND
17,SIRFETCH_D,FLYING,FIGHTING,60,85,90,70,85,70,460,FARFETCH_D,...,307,660,45,150,NO_ITEM,STICK,F50,20,MEDIUM_FAST,FLYING,GROUND
96,DROWZEE,PSYCHIC,...,60,55,45,45,90,45,340,...,HYPNO,303,710,190,102,NO_ITEM,...,F50,20,MEDIUM_FAST,HUMANSHAPE,...
97,HYPNO,PSYCHIC,...,85,70,70,70,115,65,475,DROWZEE,...,503,1670,75,165,NO_ITEM,...,F50,20,MEDIUM_FAST,HUMANSHAPE,...
29,NIDORAN_F,POISON,...,55,50,60,35,45,40,285,...,NIDORINA,104,150,235,59,NO_ITEM,...,F100,20,MEDIUM_SLOW,MONSTER,GROUND
30,NIDORINA,POISON,...,70,60,80,60,60,60,390,NIDORAN_F,NIDOQUEEN,207,440,120,117,NO_ITEM,...,F100,20,MEDIUM_SLOW,NONE,...
31,NIDOQUEEN,POISON,GROUND,100,80,100,60,80,80,500,NIDORINA,...,403,1320,45,194,NO_ITEM,...,F100,20,MEDIUM_SLOW,NONE,...
32,NIDORAN_M,POISON,...,40,60,50,45,35,55,285,...,NIDORINO,108,200,235,60,NO_ITEM,...,F0,20,MEDIUM_SLOW,MONSTER,GROUND
33,NIDORINO,POISON,...,60,80,60,60,60,70,390,NIDORAN_M,NIDOKING,211,430,120,118,NO_ITEM,...,F0,20,MEDIUM_SLOW,MONSTER,GROUND
34,NIDOKING,POISON,GROUND,80,100,80,80,60,100,500,NIDORINO,...,407,1370,45,195,NO_ITEM,...,F0,20,MEDIUM_SLOW,MONSTER,GROUND
173,CLEFFA,FAIRY,...,50,25,25,40,45,15,200,...,CLEFAIRY,100,70,150,37,MYSTERYBERRY,MOON_STONE,F75,10,FAST,NONE,...
35,CLEFAIRY,FAIRY,...,70,45,50,60,65,30,320,CLEFFA,CLEFABLE,200,170,150,68,MYSTERYBERRY,MOON_STONE,F75,10,FAST,FAIRY,...
36,CLEFABLE,FAIRY,...,90,65,65,80,85,55,440,CLEFAIRY,...,403,880,25,129,MYSTERYBERRY,MOON_STONE,F75,10,FAST,FAIRY,...
174,IGGLYBUFF,NORMAL,FAIRY,80,30,15,40,20,15,200,...,JIGGLYPUFF,100,20,170,39,NO_ITEM,...,F75,10,FAST,NONE,...
39,JIGGLYPUFF,NORMAL,FAIRY,115,55,30,55,35,30,320,IGGLYBUFF,WIGGLYTUFF,108,120,170,76,NO_ITEM,...,F75,10,FAST,FAIRY,...
40,WIGGLYTUFF,NORMAL,FAIRY,140,85,50,70,50,45,440,JIGGLYPUFF,...,303,260,50,109,NO_ITEM,...,F75,10,FAST,FAIRY,...
137,PORYGON,NORMAL,...,60,60,60,60,60,60,360,...,PORYGON2,207,800,45,130,NO_ITEM,...,UNKNOWN,20,MEDIUM_FAST,MINERAL,...
233,PORYGON2,NORMAL,...,70,70,70,70,70,70,420,PORYGON,PORYGON_Z,200,720,45,180,NO_ITEM,...,UNKNOWN,20,MEDIUM_FAST,MINERAL,...
22,PORYGON_Z,NORMAL,...,80,80,80,80,80,80,480,PORYGON2,...,311,840,45,230,NO_ITEM,...,UNKNOWN,20,MEDIUM_FAST,MINERAL,...
63,ABRA,PSYCHIC,...,30,25,20,95,50,80,300,...,KADABRA,211,430,200,73,NO_ITEM,...,F25,20,MEDIUM_SLOW,HUMANSHAPE,...
64,KADABRA,PSYCHIC,...,40,35,30,120,70,105,400,ABRA,ALAKAZAM,403,1250,100,145,NO_ITEM,...,F25,20,MEDIUM_SLOW,HUMANSHAPE,...
65,ALAKAZAM,PSYCHIC,...,55,50,45,140,85,125,500,KADABRA,...,411,1060,50,186,NO_ITEM,...,F25,20,MEDIUM_SLOW,HUMANSHAPE,...
66,MACHOP,FIGHTING,...,65,80,50,35,35,35,300,...,MACHOKE,207,430,180,88,NO_ITEM,...,F25,20,MEDIUM_SLOW,HUMANSHAPE,...
67,MACHOKE,FIGHTING,...,80,100,70,50,50,50,400,MACHOP,MACHAMP,411,1550,90,146,NO_ITEM,...,F25,20,MEDIUM_SLOW,HUMANSHAPE,...
68,MACHAMP,FIGHTING,...,90,130,80,65,80,55,500,MACHOKE,...,503,2870,45,193,NO_ITEM,...,F25,20,MEDIUM_SLOW,HUMANSHAPE,...
74,GEODUDE,ROCK,...,35,80,100,30,30,25,300,...,GRAVELER,104,440,255,86,NO_ITEM,EVERSTONE,F50,15,MEDIUM_SLOW,MINERAL,...
75,GRAVELER,ROCK,...,55,95,120,45,45,40,400,GEODUDE,GOLEM,303,2320,120,134,NO_ITEM,EVERSTONE,F50,15,MEDIUM_SLOW,MINERAL,...
76,GOLEM,ROCK,...,80,105,160,50,65,40,500,GRAVELER,...,407,6620,45,177,NO_ITEM,EVERSTONE,F50,15,MEDIUM_SLOW,MINERAL,...
92,GASTLY,GHOST,...,30,35,30,95,35,75,300,...,HAUNTER,403,2,190,95,NO_ITEM,...,F50,20,MEDIUM_SLOW,INDETERMINATE,...
93,HAUNTER,GHOST,...,45,60,45,100,55,95,400,GASTLY,GENGAR,503,2,90,126,NO_ITEM,...,F50,20,MEDIUM_SLOW,INDETERMINATE,...
94,GENGAR,GHOST,...,60,85,60,110,75,110,500,HAUNTER,...,411,890,45,190,NO_ITEM,...,F50,20,MEDIUM_SLOW,INDETERMINATE,...
