+------------+----------+----------+-----+-------+-------+-------+-------+-------+-----+--------------+---------------------+--------+--------+------------+----------+--------------+--------------+--------------+------------+-------------+---------------+-------------+
| name       | type_1   | type_2   | HP  | phAtk | phDef | spAtk | spDef | speed | BST | evolves_from | evolves_into        | height | weight | catch_rate | base_exp | item_1       | item_2       | gender_ratio | egg_cycles | growth_rate | egg_group_1   | egg_group_2 |
| NIDORINO   | POISON   | ...      |  60 |    80 |    60 |    60 |    60 |    70 | 390 | NIDORAN_M    | NIDOKING            |    211 |    430 |        120 |      118 | NO_ITEM      | ...          | F0           |         20 | MEDIUM_SLOW | MONSTER       | GROUND      |
| NIDOKING   | POISON   | GROUND   |  80 |   100 |    80 |    80 |    60 |   100 | 500 | NIDORINO     | ...                 |    407 |   1370 |         45 |      195 | NO_ITEM      | ...          | F0           |         20 | MEDIUM_SLOW | MONSTER       | GROUND      |
| CLEFFA     | FAIRY    | ...      |  50 |    25 |    25 |    40 |    45 |    15 | 200 | ...          | CLEFAIRY            |    100 |     70 |        150 |       37 | MYSTERYBERRY | MOON_STONE   | F75          |         10 | FAST        | NONE          | ...         |
| CLEFAIRY   | FAIRY    | ...      |  70 |    45 |    50 |    60 |    65 |    30 | 320 | CLEFFA       | CLEFABLE            |    200 |    170 |        150 |       68 | MYSTERYBERRY | MOON_STONE   | F75          |         10 | FAST        | FAIRY         | ...         |
| CLEFABLE   | FAIRY    | ...      |  90 |    65 |    65 |    80 |    85 |    55 | 440 | CLEFAIRY     | ...                 |    403 |    880 |         25 |      129 | MYSTERYBERRY | MOON_STONE   | F75          |         10 | FAST        | FAIRY         | ...         |
| IGGLYBUFF  | NORMAL   | FAIRY    |  80 |    30 |    15 |    40 |    20 |    15 | 200 | ...          | JIGGLYPUFF          |    100 |     20 |        170 |       39 | NO_ITEM      | ...          | F75          |         10 | FAST        | NONE          | ...         |
| JIGGLYPUFF | NORMAL   | FAIRY    | 115 |    55 |    30 |    55 |    35 |    30 | 320 | IGGLYBUFF    | WIGGLYTUFF          |    108 |    120 |        170 |       76 | NO_ITEM      | ...          | F75          |         10 | FAST        | FAIRY         | ...         |
| WIGGLYTUFF | NORMAL   | FAIRY    | 140 |    85 |    50 |    70 |    50 |    45 | 440 | JIGGLYPUFF   | ...                 |    303 |    260 |         50 |      109 | NO_ITEM      | ...          | F75          |         10 | FAST        | FAIRY         | ...         |
| PORYGON    | NORMAL   | ...      |  60 |    60 |    60 |    60 |    60 |    60 | 360 | ...          | PORYGON2            |    207 |    800 |         45 |      130 | NO_ITEM      | ...          | UNKNOWN      |         20 | MEDIUM_FAST | MINERAL       | ...         |
| PORYGON2   | NORMAL   | ...      |  70 |    70 |    70 |    70 |    70 |    70 | 420 | PORYGON      | PORYGON_Z           |    200 |    720 |         45 |      180 | NO_ITEM      | ...          | UNKNOWN      |         20 | MEDIUM_FAST | MINERAL       | ...         |
| PORYGON_Z  | NORMAL   | ...      |  80 |    80 |    80 |    80 |    80 |    80 | 480 | PORYGON2     | ...                 |    311 |    840 |         45 |      230 | NO_ITEM      | ...          | UNKNOWN      |         20 | MEDIUM_FAST | MINERAL       | ...         |
| ABRA       | PSYCHIC  | ...      |  30 |    25 |    20 |    95 |    50 |    80 | 300 | ...          | KADABRA             |    211 |    430 |        200 |       73 | NO_ITEM      | ...          | F25          |         20 | MEDIUM_SLOW | HUMANSHAPE    | ...         |
| KADABRA    | PSYCHIC  | ...      |  40 |    35 |    30 |   120 |    70 |   105 | 400 | ABRA         | ALAKAZAM            |    403 |   1250 |        100 |      145 | NO_ITEM      | ...          | F25          |         20 | MEDIUM_SLOW | HUMANSHAPE    | ...         |
| ALAKAZAM   | PSYCHIC  | ...      |  55 |    50 |    45 |   140 |    85 |   125 | 500 | KADABRA      | ...                 |    411 |   1060 |         50 |      186 | NO_ITEM      | ...          | F25          |         20 | MEDIUM_SLOW | HUMANSHAPE    | ...         |
| MACHOP     | FIGHTING | ...      |  65 |    80 |    50 |    35 |    35 |    35 | 300 | ...          | MACHOKE             |    207 |    430 |        180 |       88 | NO_ITEM      | ...          | F25          |         20 | MEDIUM_SLOW | HUMANSHAPE    | ...         |
| MACHOKE    | FIGHTING | ...      |  80 |   100 |    70 |    50 |    50 |    50 | 400 | MACHOP       | MACHAMP             |    411 |   1550 |         90 |      146 | NO_ITEM      | ...          | F25          |         20 | MEDIUM_SLOW | HUMANSHAPE    | ...         |
| MACHAMP    | FIGHTING | ...      |  90 |   130 |    80 |    65 |    80 |    55 | 500 | MACHOKE      | ...                 |    503 |   2870 |         45 |      193 | NO_ITEM      | ...          | F25          |         20 | MEDIUM_SLOW | HUMANSHAPE    | ...         |
| GEODUDE    | ROCK     | ...      |  35 |    80 |   100 |    30 |    30 |    25 | 300 | ...          | GRAVELER            |    104 |    440 |        255 |       86 | NO_ITEM      | EVERSTONE    | F50          |         15 | MEDIUM_SLOW | MINERAL       | ...         |
| GRAVELER   | ROCK     | ...      |  55 |    95 |   120 |    45 |    45 |    40 | 400 | GEODUDE      | GOLEM               |    303 |   2320 |        120 |      134 | NO_ITEM      | EVERSTONE    | F50          |         15 | MEDIUM_SLOW | MINERAL       | ...         |
| GOLEM      | ROCK     | ...      |  80 |   105 |   160 |    50 |    65 |    40 | 500 | GRAVELER     | ...                 |    407 |   6620 |         45 |      177 | NO_ITEM      | EVERSTONE    | F50          |         15 | MEDIUM_SLOW | MINERAL       | ...         |
| GASTLY     | GHOST    | ...      |  30 |    35 |    30 |    95 |    35 |    75 | 300 | ...          | HAUNTER             |    403 |      2 |        190 |       95 | NO_ITEM      | ...          | F50          |         20 | MEDIUM_SLOW | INDETERMINATE | ...         |
| HAUNTER    | GHOST    | ...      |  45 |    60 |    45 |   100 |    55 |    95 | 400 | GASTLY       | GENGAR              |    503 |      2 |         90 |      126 | NO_ITEM      | ...          | F50          |         20 | MEDIUM_SLOW | INDETERMINATE | ...         |
| GENGAR     | GHOST    | ...      |  60 |    85 |    60 |   110 |    75 |   110 | 500 | HAUNTER      | ...                 |    411 |    890 |         45 |      190 | NO_ITEM      | ...          | F50          |         20 | MEDIUM_SLOW | INDETERMINATE | .           |
+------------+----------+----------+-----+-------+-------+-------+-------+-------+-----+--------------+---------------------+--------+--------+------------+----------+--------------+--------------+--------------+------------+-------------+---------------+-------------+
